,지역본부,지역,명,주소,동,호,주택군,주택열람일정,"전용
면적","주거공용
면적",면적계,방수,층수,"승강기
유무",주택유형, 임대보증금, 월임대료, 임대보증금, 월임대료
38,서울지역본부,서울특별시,매입다가구(서울동대문구),서울특별시 동대문구 장한로26다길 7(장안동) 월튼파크뷰Ⅱ,,601,동대문장안동(월튼파크뷰),열람불가(계약 전 주택 개방),57.2200,18.5380,75.7580,3,6층,Y,아파트,"  220,990,000 ","  241,610 ","  252,560,000 ","  269,900 "
39,서울지역본부,서울특별시,매입다가구(서울동작구),"서울특별시 동작구 신대방1나길 71(신대방동,나린하우징9차) 나린하우징9차",,202,동작신대방동(나린하우징9차),열람불가(계약 전 주택 개방),49.8,10.956,60.756,3,2층,Y,다세대주택,"  234,838,000 ","  245,650 ","  268,386,000 ","  274,300 "
40,서울지역본부,서울특별시,매입다가구(서울마포구),"서울특별시 마포구 만리재로 96(공덕동,공덕헤리지움) 공덕헤리지움",,1101,마포공덕동(공덕헤리지움),열람불가(계약 전 주택 개방),29.5600,16.9000,46.4600,2,11층,Y,아파트,"  198,562,000 ","  203,540 ","  226,928,000 ","  227,770 "
41,서울지역본부,서울특별시,매입다가구(서울마포구),"서울특별시 마포구 만리재로 96(공덕동,공덕헤리지움) 공덕헤리지움",,1701,마포공덕동(공덕헤리지움),열람불가(계약 전 주택 개방),29.5600,16.9000,46.4600,2,17층,Y,아파트,"  200,394,000 ","  210,970 ","  229,022,000 ","  235,420 "
42,서울지역본부,서울특별시,매입다가구(서울서대문구),서울특별시 서대문구 거북골로20길 43-6(북가좌동) 호원캐슬,,203,서대문북가좌동(호원캐슬),열람불가(계약 전 주택 개방),57.2500,7.2500,64.5000,3,2층,Y,다세대주택,"  213,416,000 ","  218,760 ","  243,904,000 ","  242,890 "
43,서울지역본부,서울특별시,매입다가구(서울서초구),서울특별시 서초구 남부순환로333길 31(서초동) ,,401,서초서초동(서초에르스떼),열람불가(계약 전 주택 개방),28.3,5.59,33.89,2,4층,Y,도시형생활주택,"  220,556,000 ","  250,710 ","  252,064,000 ","  280,260 "
44,서울지역본부,서울특별시,매입다가구(서울서초구),서울특별시 서초구 남부순환로333길 31(서초동) ,,503,서초서초동(서초에르스떼),열람불가(계약 전 주택 개방),23.44,4.63,28.07,1,5층,Y,도시형생활주택,"  190,008,000 ","  215,270 ","  217,152,000 ","  240,730 "
45,서울지역본부,서울특별시,매입다가구(서울서초구),서울특별시 서초구 반포대로14길 14(서초동) ,101,1동202,서초서초동(DK밸리뷰시티),열람불가(계약 전 주택 개방),36.97,14.81,51.78,2,2층,Y,오피스텔,"  163,536,000 ","  215,950 ","  186,899,000 ","  241,270 "
46,서울지역본부,서울특별시,매입다가구(서울성북구),서울특별시 성북구 화랑로15길 23(하월곡동) 써미트빌,,403,성북하월곡동(써미트빌),열람불가(계약 전 주택 개방),51.5400,9.5000,61.0400,3,4층,Y,도시형생활주택,"  195,807,000 ","  209,480 ","  223,779,000 ","  233,370 "
47,서울지역본부,서울특별시,매입다가구(서울송파구),서울특별시 송파구 가락로 68(석촌동) ,103,202,송파석촌동(서도휴빌),열람불가(계약 전 주택 개방),46.43,8,54.43,2,2층,Y,도시형생활주택,"  240,710,000 ","  261,690 ","  275,097,000 ","  291,060 "
